,1,2,3,4,5,6,7,8,9,10,11
416,19980213,0.124097,6,0.123416,0.188528,0.188475,0.048066,6,0.942927,0.14526,"0.166484
"
417,19980217,0,0,0,0.215954,0.215992,0,0,0,0.0992648,"0.0792022
"
418,19980218,0.156465,4,0.140772,0.224348,0.204267,0.0141479,4,1.73101,0.131384,"0.131384
"
419,19980219,0.0729586,4,0.133275,0.170368,0.137355,0,0,0,0.125475,"0.114952
"
420,19980220,0.338531,3,0.210279,0.28292,0.236573,0.360032,2,0.217145,0.236718,"0.257315
"
421,19980223,0.357695,0,0.209905,0.306166,0.256341,0.38137,5,0.200475,0.258279,"0.260587
"
422,19980224,0.0965897,1,0.0379567,0.215916,0.176311,0.0420146,6,0.0802673,0.148405,"0.141702
"
423,19980225,0.361666,5,0.2864,0.332495,0.313563,0.312054,7,0.309482,0.223658,"0.201251
"
424,19980226,0.0832328,6,0.606945,0.208923,0.184285,0.104647,3,0.106257,0.23551,"0.227693
"
425,19980227,0,0,0,0.152243,0.166774,0,0,0,0.0657927,"0.0657927
"
426,19980302,0.107482,5,0.0575133,0.219278,0.208736,0.0477146,0,0.106591,0.128824,"0.08632
"
427,19980303,0,0,0,0.161285,0.161285,0,0,0,0.526603,"0.571729
"
428,19980304,0,0,0,0.187898,0.13175,0,0,0,0.125203,"0.125203
"
429,19980305,0.144488,2,0.233381,0.253089,0.243191,0,0,0,0.14437,"0.165687
"
430,19980306,0.578748,6,0.284395,0.487486,0.505302,0.546623,6,0.160951,0.417122,"0.451972
"
431,19980309,0.431285,6,0.274444,0.281056,0.282449,0,0,0,0.500705,"0.514228
"
432,19980310,0.224946,6,0.214303,0.251802,0.303004,0.487456,6,0.0362232,0.237221,"0.258148
"
433,19980311,0.0570203,6,0.0835041,0.260038,0.120344,0.0844626,6,0.0329411,0.129859,"0.0814115
"
434,19980312,0.0968547,6,0.220531,0.249948,0.271442,0,0,0,0.176466,"0.166142
"
435,19980313,0.0540631,1,0.413303,0.187462,0.178203,0,0,0,0.0708357,"0.0708357
"
